Date,Description,Amount,Category,Type
2024-06-14,Morning Coffee,-5.50,Food,expense
2024-06-14,Lunch at Restaurant,-25.00,Food,expense
2024-06-15,Monthly Salary,5000.00,Salary,income
2024-06-15,Grocery Shopping,-120.75,Groceries,expense
2024-06-16,Bus Ticket,-3.00,Travel,expense
2024-06-16,Movie Tickets,-30.00,Entertainment,expense
2024-06-17,Breakfast,-8.50,Food,expense
2024-06-17,Office Supplies,-45.00,Purchase,expense
2024-06-18,Dinner with Friends,-65.00,Food,expense
2024-06-19,Weekly Groceries,-95.50,Groceries,expense
2024-06-20,Taxi Ride,-15.00,Travel,expense
2024-06-20,Per Diem Allowance,50.00,Per Diem,income
2024-06-21,Coffee Shop,-6.75,Food,expense
2024-06-21,Book Purchase,-25.00,Purchase,expense
2024-06-22,Weekend Groceries,-85.25,Groceries,expense
2024-06-23,Lunch,-12.00,Food,expense
2024-06-24,Bonus Payment,500.00,Bonus,income
2024-06-24,Gas Station,-40.00,Travel,expense
2024-06-25,Dinner,-22.50,Food,expense
2024-06-26,Pharmacy,-18.75,Purchase,expense
2024-06-27,Coffee,-4.50,Food,expense
2024-06-28,Monthly Groceries,-150.00,Groceries,expense
2024-06-29,Concert Tickets,-80.00,Entertainment,expense
2024-06-30,Advance Payment,200.00,Advance,income
